id_venta,fecha,producto,categoria,cantidad,precio_unitario,monto_total,region,vendedor
1139,2024-01-01,Tablet Samsung,Computadoras,1,431.35,431.35,Oeste,Juan Pérez
1048,2024-01-01,Disco SSD 1TB,Almacenamiento,5,125.12,625.6,Oeste,María López
1116,2024-01-01,Hub USB-C,Accesorios,7,35.32,247.24,Norte,Ana García
1114,2024-01-01,Disco SSD 1TB,Almacenamiento,6,122.03,732.18,Oeste,Pedro Sánchez
1030,2024-01-02,"Monitor LG 27""",Monitores,1,335.5,335.5,Oeste,Ana García
1175,2024-01-02,Memoria RAM 16GB,Componentes,2,73.61,147.22,Este,Ana García
1037,2024-01-03,Hub USB-C,Accesorios,1,36.26,36.26,Norte,Lucía Rodríguez
1046,2024-01-03,Hub USB-C,Accesorios,4,33.83,135.32,Oeste,Juan Pérez
1095,2024-01-03,Micrófono USB,Audio,4,55.95,223.8,Sur,Carlos Méndez
1094,2024-01-03,Webcam HD,Accesorios,9,45.74,411.66,Centro,María López
1182,2024-01-03,"Monitor LG 27""",Monitores,1,348.65,348.65,Norte,Pedro Sánchez
1066,2024-01-03,Router WiFi,Redes,7,92.96,650.72,Norte,Ana García
1199,2024-01-03,"Monitor LG 27""",Monitores,3,367.41,1102.23,Norte,Juan Pérez
1010,2024-01-03,Micrófono USB,Audio,4,57.02,228.08,Oeste,María López
1160,2024-01-03,Teclado Mecánico,Accesorios,1,84.22,84.22,Centro,Juan Pérez
1197,2024-01-03,Micrófono USB,Audio,6,56.94,341.64,Centro,Juan Pérez
1063,2024-01-04,Hub USB-C,Accesorios,3,34.18,102.54,Norte,Pedro Sánchez
1035,2024-01-04,"Monitor LG 27""",Monitores,2,334.74,669.48,Norte,Lucía Rodríguez
1059,2024-01-04,Mouse Logitech,Accesorios,9,24.77,222.93,Este,Carlos Méndez
1069,2024-01-04,Mouse Logitech,Accesorios,3,25.62,76.86,Este,Lucía Rodríguez
1054,2024-01-04,Hub USB-C,Accesorios,10,34.11,341.1,Centro,Ana García
1145,2024-01-04,Cable HDMI,Accesorios,9,13.06,117.54,Sur,Carlos Méndez
1006,2024-01-04,Mouse Logitech,Accesorios,7,24.47,171.29,Este,Lucía Rodríguez
1155,2024-01-04,Tablet Samsung,Computadoras,2,454.78,909.56,Centro,Carlos Méndez
1126,2024-01-04,Impresora HP,Impresoras,1,187.72,187.72,Centro,Pedro Sánchez
1001,2024-01-05,Cable HDMI,Accesorios,2,12.72,25.44,Centro,Ana García
1096,2024-01-05,Laptop Dell XPS,Computadoras,1,1169.38,1169.38,Oeste,Lucía Rodríguez
1154,2024-01-05,Mousepad Gaming,Accesorios,10,18.81,188.1,Norte,Carlos Méndez
1032,2024-01-06,Webcam HD,Accesorios,9,46.68,420.12,Oeste,Carlos Méndez
1044,2024-01-06,Webcam HD,Accesorios,8,43.87,350.96,Norte,Juan Pérez
1061,2024-01-06,Memoria RAM 16GB,Componentes,9,76.53,688.77,Centro,Pedro Sánchez
1165,2024-01-06,Mousepad Gaming,Accesorios,5,18.17,90.85,Centro,María López
1137,2024-01-06,Memoria RAM 16GB,Componentes,4,73.91,295.64,Este,María López
1115,2024-01-06,Micrófono USB,Audio,8,57.31,458.48,Centro,Lucía Rodríguez
1021,2024-01-06,Mousepad Gaming,Accesorios,7,18.17,127.19,Oeste,Juan Pérez
1159,2024-01-07,Webcam HD,Accesorios,2,43.46,86.92,Sur,Lucía Rodríguez
1050,2024-01-07,Webcam HD,Accesorios,4,47.11,188.44,Centro,Pedro Sánchez
